unext0_batchnorm0_gamma,arg:bn_data_gamma
unext0_stage3_batchnorm5_running_mean,aux:stage3_unit2_bn2_moving_mean
unext0_stage3_batchnorm5_running_var,aux:stage3_unit2_bn2_moving_var
unext0_stage3_conv6_weight,arg:stage3_unit2_conv3_weight
unext0_stage3_batchnorm6_gamma,arg:stage3_unit2_bn3_gamma
unext0_stage3_batchnorm6_beta,arg:stage3_unit2_bn3_beta
unext0_stage3_batchnorm6_running_mean,aux:stage3_unit2_bn3_moving_mean
unext0_stage3_batchnorm6_running_var,aux:stage3_unit2_bn3_moving_var
unext0_stage3_conv7_weight,arg:stage3_unit3_conv1_weight
unext0_stage3_batchnorm7_gamma,arg:stage3_unit3_bn1_gamma
unext0_stage3_batchnorm7_beta,arg:stage3_unit3_bn1_beta
unext0_stage3_batchnorm7_running_mean,aux:stage3_unit3_bn1_moving_mean
unext0_stage3_batchnorm7_running_var,aux:stage3_unit3_bn1_moving_var
unext0_stage3_conv8_weight,arg:stage3_unit3_conv2_weight
unext0_stage3_batchnorm8_gamma,arg:stage3_unit3_bn2_gamma
unext0_stage3_batchnorm8_beta,arg:stage3_unit3_bn2_beta
unext0_stage3_batchnorm8_running_mean,aux:stage3_unit3_bn2_moving_mean
unext0_stage3_batchnorm8_running_var,aux:stage3_unit3_bn2_moving_var
unext0_stage3_conv9_weight,arg:stage3_unit3_conv3_weight
unext0_stage3_batchnorm9_gamma,arg:stage3_unit3_bn3_gamma
unext0_stage3_batchnorm9_beta,arg:stage3_unit3_bn3_beta
unext0_stage3_batchnorm9_running_mean,aux:stage3_unit3_bn3_moving_mean
unext0_stage3_batchnorm9_running_var,aux:stage3_unit3_bn3_moving_var
unext0_stage3_conv10_weight,arg:stage3_unit4_conv1_weight
unext0_stage3_batchnorm10_gamma,arg:stage3_unit4_bn1_gamma
unext0_stage3_batchnorm10_beta,arg:stage3_unit4_bn1_beta
unext0_stage3_batchnorm10_running_mean,aux:stage3_unit4_bn1_moving_mean
unext0_stage3_batchnorm10_running_var,aux:stage3_unit4_bn1_moving_var
unext0_stage3_conv11_weight,arg:stage3_unit4_conv2_weight
unext0_stage3_batchnorm11_gamma,arg:stage3_unit4_bn2_gamma
unext0_stage3_batchnorm11_beta,arg:stage3_unit4_bn2_beta
unext0_stage3_batchnorm11_running_mean,aux:stage3_unit4_bn2_moving_mean
unext0_stage3_batchnorm11_running_var,aux:stage3_unit4_bn2_moving_var
unext0_stage3_conv12_weight,arg:stage3_unit4_conv3_weight
unext0_stage3_batchnorm12_gamma,arg:stage3_unit4_bn3_gamma
unext0_stage3_batchnorm12_beta,arg:stage3_unit4_bn3_beta
unext0_stage3_batchnorm12_running_mean,aux:stage3_unit4_bn3_moving_mean
unext0_stage3_batchnorm12_running_var,aux:stage3_unit4_bn3_moving_var
unext0_stage3_conv13_weight,arg:stage3_unit5_conv1_weight
unext0_stage3_batchnorm13_gamma,arg:stage3_unit5_bn1_gamma
unext0_stage3_batchnorm13_beta,arg:stage3_unit5_bn1_beta
unext0_stage3_batchnorm13_running_mean,aux:stage3_unit5_bn1_moving_mean
unext0_stage3_batchnorm13_running_var,aux:stage3_unit5_bn1_moving_var
unext0_stage3_conv14_weight,arg:stage3_unit5_conv2_weight
unext0_stage3_batchnorm14_gamma,arg:stage3_unit5_bn2_gamma
unext0_stage3_batchnorm14_beta,arg:stage3_unit5_bn2_beta
unext0_stage3_batchnorm14_running_mean,aux:stage3_unit5_bn2_moving_mean
unext0_stage3_batchnorm14_running_var,aux:stage3_unit5_bn2_moving_var
unext0_stage3_conv15_weight,arg:stage3_unit5_conv3_weight
unext0_stage3_batchnorm15_gamma,arg:stage3_unit5_bn3_gamma
unext0_stage3_batchnorm15_beta,arg:stage3_unit5_bn3_beta
unext0_stage3_batchnorm15_running_mean,aux:stage3_unit5_bn3_moving_mean
unext0_stage3_batchnorm15_running_var,aux:stage3_unit5_bn3_moving_var
unext0_stage3_conv16_weight,arg:stage3_unit6_conv1_weight
unext0_stage3_batchnorm16_gamma,arg:stage3_unit6_bn1_gamma
unext0_stage3_batchnorm16_beta,arg:stage3_unit6_bn1_beta
unext0_stage3_batchnorm16_running_mean,aux:stage3_unit6_bn1_moving_mean
unext0_stage3_batchnorm16_running_var,aux:stage3_unit6_bn1_moving_var
